,Date,Open,High,Low,Close,Adj Close,Volume,MA_50,MA_100,MA_200,Close_diff,RSI,SO(%K),RSI_CAT,SO(%K)_CAT,EMA_50,EMA_200,SO_%D
29,2016-12-13,8196.150391,8228.849609,8155.799805,8221.799805,8221.799805,184000.0,8401.309980540002,8542.894502019995,8192.3327515,25.649414000001343,59.90700018421173,97.73522862680619,Balanced,OverBought,8404.3269064851,8186.816592549875,92.16809405605191
30,2016-12-14,8229.349609,8229.400391,8165.100098,8182.450195,8182.450195,144600.0,8393.13398444,8539.305000059996,8197.7027515,-46.899414000000434,57.85738989881893,86.01009713374013,Balanced,OverBought,8392.727243852158,8192.234417604477,88.6592101274648
31,2016-12-15,8128.399902,8225.900391,8121.950195,8153.600098,8153.600098,181800.0,8383.982978580001,8535.753999089995,8202.512001989999,25.200195999999778,55.831710215648314,78.22939914956987,Balanced,Balanced,8383.740498697256,8197.263919126866,87.32490830337207
32,2016-12-16,8178.200195,8178.700195,8127.450195,8139.450195,8139.450195,203000.0,8372.009990300001,8531.863002989996,8207.155502964999,-38.75,52.22372985014535,75.51507470321127,Balanced,Balanced,8374.393457655295,8201.88452132343,79.91819032884042
33,2016-12-19,8126.0,8132.5,8094.850098,8104.350098,8104.350098,107400.0,8358.71398444,8527.248007879998,8211.504504429999,-21.64990200000011,53.819458773520964,54.146837006438375,Balanced,Balanced,8361.513523935295,8206.132563612113,69.29710361973984
34,2016-12-20,8110.600098,8124.100098,8062.75,8082.399902,8082.399902,128000.0,8345.482978580001,8522.971010809997,8216.368754915,-28.200195999999778,58.98344956929254,45.660376829521496,Balanced,Balanced,8347.878138069806,8210.219881520248,58.440762846390385
35,2016-12-21,8105.850098,8112.549805,8053.25,8061.299805,8061.299805,123700.0,8332.51797858,8518.172006909997,8221.581752965,-44.55029300000024,59.43618685710905,40.55201052704035,Balanced,Balanced,8334.338540400393,8214.82578028898,46.78640812100008
36,2016-12-22,8043.850098,8046.450195,7964.950195,7979.100098,7979.100098,122600.0,8318.147988359999,8511.606503979998,8226.624252964999,-64.75,58.704170707935305,20.651333610123203,Balanced,Balanced,8318.658453851373,8219.169000179278,35.62124032222835
37,2016-12-23,7972.5,8022.600098,7942.049805,7985.75,7985.75,124100.0,8303.68699226,8505.557500069997,8231.404252964998,13.25,54.943896992268776,18.568287316607435,Balanced,OverSold,8305.112773130195,8224.22749422903,26.590543817923663
38,2016-12-26,7965.100098,7970.049805,7893.799805,7908.25,7908.25,106900.0,8290.385000080001,8498.482002019997,8236.01025394,-56.85009799999989,55.23616181761849,2.7608300024385453,Balanced,OverSold,8288.179659230196,8228.188787761366,13.993483643056395
39,2016-12-27,7915.049805,8044.649902,7903.700195,8032.850098,8032.850098,118800.0,8279.37399422,8492.147504949997,8240.063005405,117.80029300000024,60.52464389495165,23.17215275345747,Balanced,Balanced,8280.285592155295,8233.988759851045,14.833756690834484
40,2016-12-28,8047.549805,8100.549805,8028.399902,8034.850098,8034.850098,126700.0,8269.662988360004,8486.111005929997,8243.393005405,-12.699706999999762,63.601370312878075,3.191435093696811,Balanced,OverSold,8269.784821819216,8238.021085928332,9.708139283197609
